id,user_id,date,time_of_day,age,device_type,subscription_tier,experience_level,is_weekend,time_spent_minutes,tasks_attempted,tasks_completed,avg_time_per_task_seconds,focus_score,interruption_count,battery_level,network_quality,screen_brightness,notification_count,goal_completed,completion_rate,age_group,day_of_week,tasks_per_minute,completion_ratio,day_of_month,month,year,rolling_mean_time_spent,completed
1,1,2024-09-01,2,50,2,2,0,1,7.2,3,1,156.0,36.0,0.0,75.0,4,57,0,0,0.3333333333333333,41-50,6,0.41666666666666663,0.3333333333333333,1,9,2024,7.2,0
5429,156,2024-09-01,0,20,2,2,0,1,23.9,1,0,0.0,31.0,1.0,67.0,4,90,5,1,0.0,0-20,6,0.041841004184100423,0.0,1,9,2024,23.9,0
5430,156,2024-09-01,1,20,2,2,0,1,22.2,2,0,0.0,55.0,0.0,92.0,3,74,1,0,0.0,0-20,6,0.0900900900900901,0.0,1,9,2024,23.049999999999997,0
5431,156,2024-09-01,2,20,2,2,0,1,18.3,3,2,300.0,30.0,2.0,52.0,3,45,3,1,0.6666666666666666,0-20,6,0.16393442622950818,0.6666666666666666,1,9,2024,21.46666666666667,0
5484,157,2024-09-01,0,55,0,1,0,1,29.9,2,2,300.0,47.0,2.0,59.0,4,93,3,0,1.0,51-60,6,0.06688963210702341,1.0,1,9,2024,29.9,1
5485,157,2024-09-01,1,55,0,1,0,1,35.5,4,0,0.0,50.0,2.0,32.0,3,37,4,0,0.0,51-60,6,0.11267605633802817,0.0,1,9,2024,32.7,0
5574,159,2024-09-01,1,35,2,0,1,1,5.0,1,0,0.0,39.0,0.0,92.0,5,96,1,1,0.0,31-40,6,0.2,0.0,1,9,2024,5.0,0
5593,160,2024-09-01,0,25,1,0,0,1,27.8,2,2,300.0,65.0,2.0,54.0,5,54,0,1,1.0,21-30,6,0.07194244604316546,1.0,1,9,2024,27.8,1
5594,160,2024-09-01,1,25,1,0,0,1,31.4,3,1,300.0,48.0,3.0,66.0,4,61,2,0,0.3333333333333333,21-30,6,0.09554140127388536,0.3333333333333333,1,9,2024,29.6,0
5595,160,2024-09-01,2,25,1,0,0,1,24.6,3,2,300.0,44.0,3.0,58.0,4,72,2,0,0.6666666666666666,21-30,6,0.12195121951219512,0.6666666666666666,1,9,2024,27.933333333333334,0
10580,312,2024-09-01,1,40,0,2,2,1,13.4,1,0,0.0,21.0,1.0,53.0,5,64,3,0,0.0,31-40,6,0.07462686567164178,0.0,1,9,2024,13.4,0
530,17,2024-09-01,1,40,1,0,0,1,15.8,3,1,300.0,81.0,0.0,85.0,5,46,2,1,0.3333333333333333,31-40,6,0.18987341772151897,0.3333333333333333,1,9,2024,15.8,0
5704,163,2024-09-01,2,45,0,1,2,1,16.8,1,0,0.0,79.0,1.0,34.0,4,54,1,1,0.0,41-50,6,0.05952380952380952,0.0,1,9,2024,16.8,0
5732,164,2024-09-01,2,45,2,0,2,1,27.1,3,1,300.0,58.0,1.0,40.0,5,82,1,0,0.3333333333333333,41-50,6,0.11070110701107011,0.3333333333333333,1,9,2024,27.1,0
10500,308,2024-09-01,1,25,2,2,0,1,40.7,4,1,300.0,32.0,3.0,43.0,5,58,2,0,0.25,21-30,6,0.09828009828009827,0.25,1,9,2024,40.7,0
